"country","mes","cancelaciones_mensuales","personas_mensuales","reservas_mensuales","cancelaciones_acumuladas","personas_acumuladas","reservas_acumuladas","ratio_cancelaciones","region","country_name"
"BRA",2017-07-01,62,362,147,800,4683,2135,37.5,"Americas","Brazil"
"CHE",2017-07-01,67,371,154,390,3444,1633,23.9,"Europe","Switzerland"
"CHL",2017-07-01,0,2,1,15,131,61,24.6,"Americas","Chile"
"CHN",2017-07-01,63,444,201,678,4365,2144,31.6,"Asia","China"
"COL",2017-07-01,3,25,10,23,147,68,33.8,"Americas","Colombia"
"CYP",2017-07-01,1,4,1,11,75,47,23.4,"Europe","Cyprus"
"CZE",2017-07-01,1,20,9,37,315,166,22.3,"Europe","Czechia"
"DEU",2017-07-01,102,1049,519,1141,13376,6877,16.6,"Europe","Germany"
"DNK",2017-07-01,16,150,62,100,870,406,24.6,"Europe","Denmark"
"DOM",2017-07-01,5,18,5,8,35,14,57.1,"Americas","Dominican Republic"
"DZA",2017-07-01,0,3,2,21,172,101,20.8,"Africa","Algeria"
"ECU",2017-07-01,1,2,1,7,48,24,29.2,"Americas","Ecuador"
"ESP",2017-07-01,149,864,381,1944,16702,7934,24.5,"Europe","Spain"
"EST",2017-07-01,1,11,4,18,173,82,22,"Europe","Estonia"
"FIN",2017-07-01,3,54,22,68,897,438,15.5,"Europe","Finland"
"FRA",2017-07-01,106,826,365,1749,20306,9834,17.8,"Europe","France"
"FRO",2017-07-01,4,12,4,4,12,4,100,"Europe","Faroe Islands"
"GBR",2017-07-01,181,1529,709,2274,23068,11447,19.9,"Europe","United Kingdom"
"GHA",2017-07-01,1,3,1,2,8,4,50,"Africa","Ghana"
"GIB",2017-07-01,1,2,1,7,33,14,50,"Europe","Gibraltar"
"GRC",2017-07-01,1,11,4,34,218,125,27.2,"Europe","Greece"
"HKG",2017-07-01,3,8,4,26,57,29,89.7,"Asia","Hong Kong SAR China"
"HRV",2017-07-01,0,6,2,24,196,98,24.5,"Europe","Croatia"
"HUN",2017-07-01,6,43,22,75,442,218,34.4,"Europe","Hungary"
"IDN",2017-07-01,1,3,1,23,65,34,67.6,"Asia","Indonesia"
"IND",2017-07-01,0,16,6,34,334,150,22.7,"Asia","India"
"IRL",2017-07-01,67,388,171,787,6599,3230,24.4,"Europe","Ireland"
"IRN",2017-07-01,3,12,5,23,160,78,29.5,"Africa","Iran"
"ISL",2017-07-01,0,6,2,4,106,55,7.3,"Europe","Iceland"
"ISR",2017-07-01,7,48,20,159,1291,645,24.7,"Africa","Israel"
"ITA",2017-07-01,90,324,147,1234,7381,3544,34.8,"Europe","Italy"
"JOR",2017-07-01,2,17,6,3,37,20,15,"Africa","Jordan"
"JPN",2017-07-01,0,10,5,24,350,176,13.6,"Asia","Japan"
"KAZ",2017-07-01,1,6,4,5,34,19,26.3,"Europe","Kazakhstan"
"KOR",2017-07-01,2,11,6,55,259,130,42.3,"Asia","South Korea"
"KWT",2017-07-01,0,4,2,4,28,14,28.6,"Africa","Kuwait"
"LBN",2017-07-01,0,1,1,8,55,28,28.6,"Africa","Lebanon"
